ell,Dl_tt,err,model_Dl
2.0,1175581.5811289758,5.751799618454473,1.1275664736828936
3.0,579748.3465172558,5.751799618454473,1.1115427838228837
4.0,344461.89533082844,5.751799618454473,1.1003120729701064
5.0,227899.66585607882,5.751799618454473,1.091679053433403
6.0,161781.12346570467,5.751799618454473,1.0846756642074395
7.0,120703.06313837133,5.751799618454473,1.078789443865148
8.0,93460.44669221564,5.751799618454473,1.0737163918179675
9.0,74467.88883359164,5.751799618454473,1.0692614468584711
10.0,60710.10178033797,5.751799618454473,1.0652920264856047
11.0,50427.06183944795,5.751799618454473,1.0617139438392074
12.0,42540.85046828702,5.751799618454473,1.0584579044937994
13.0,36363.06734560981,5.751799618454473,1.0554714567071257
14.0,31447.988647601593,5.751799618454473,1.0527139502200449
15.0,27447.993222651483,5.751799618454473,1.0501532485188514
16.0,24168.895338341183,5.751799618454473,1.0477635105429541
17.0,21439.40821804071,5.751799618454473,1.0455236500654914
18.0,19138.85342235744,5.751799618454473,1.0434162387405286
19.0,17179.60497581165,5.751799618454473,1.041426707926659
20.0,15529.262556561627,5.751799618454473,1.0395427567339373
21.0,14085.44653716487,5.751799618454473,1.0377539055364189
22.0,12856.220545690692,5.751799618454473,1.036051154091284
23.0,11760.622926150168,5.751799618454473,1.0344267161908405
24.0,10803.769135830915,5.751799618454473,1.0328738111836389
25.0,9965.3464042055,5.751799618454473,1.0313864983505638
26.0,9199.803227105502,5.751799618454473,1.029959543990016
27.0,8532.919078681789,5.751799618454473,1.0285883137609322
28.0,7936.609804731575,5.751799618454473,1.027268684739303
29.0,7402.389335111514,5.751799618454473,1.0259969730128806
30.0,6923.701045366235,5.751799618454473,1.0247698736347641
31.0,6473.320052398396,5.751799618454473,1.0235844104900662
32.0,6070.1798140561605,5.751799618454473,1.0224378941762073
33.0,5717.16527329267,5.751799618454473,1.0213278864086226
34.0,5382.705172481756,5.751799618454473,1.0202521697762428
35.0,5086.558920132175,5.751799618454473,1.0192087219108652
36.0,4800.8659206975,5.751799618454473,1.018195693320029
